Sample,variable,value
8B-HF | 11-12-2017,Maximal.Resp,106.2399872395329
9A_2-DB2 | 13-08-2018,Maximal.Resp,98.11740885042391
X-HC | 23-10-2017,Maximal.Resp,56.01722014277284
Y-HC | 28-11-2017,Maximal.Resp,118.3119841262284
10A-HF | 30-10-2017,Non.Mito.Resp,15.169819712785603
10B-HF | 18-12-2017,Non.Mito.Resp,7.402848887627983
11-HC | 18-09-2017,Non.Mito.Resp,5.650939790661366
11A-HF | 28-11-2017,Non.Mito.Resp,12.908578809708944
11B-HF | 15-01-2018,Non.Mito.Resp,7.825353265501693
11B_2-DB2 | 14-01-2019,Non.Mito.Resp,13.576033215905959
12A-HF | 06-12-2017,Non.Mito.Resp,2.5429445794084047
12B-HF | 22-01-2018,Non.Mito.Resp,6.291616586438615
13A-HF | 26-02-2018,Non.Mito.Resp,6.916024763600668
13B-HF | 13-04-2018,Non.Mito.Resp,11.18320780249936
14A-HF | 22-01-2018,Non.Mito.Resp,9.06994382184426
14B-HF | 12-03-2018,Non.Mito.Resp,4.1738845385764805
15A-HF | 15-01-2018,Non.Mito.Resp,10.06902081632866
17A-HF | 12-03-2018,Non.Mito.Resp,5.979531410079075
17B-HF | 30-04-2018,Non.Mito.Resp,14.510031033481429
18A-HF | 12-02-2018,Non.Mito.Resp,10.531429149538607
18B-HF | 03-04-2018,Non.Mito.Resp,3.229199641973774
19A-HF | 19-02-2018,Non.Mito.Resp,11.817213852644496
19B-HF | 09-04-2018,Non.Mito.Resp,15.262723897760308
1A-HF | 14-08-2017,Non.Mito.Resp,16.806588718111108
1B- | 02-10-2017,Non.Mito.Resp,10.984006599273652
22A-HF | 09-04-2018,Non.Mito.Resp,9.884974293938733
22B-HF | 28-05-2018,Non.Mito.Resp,12.340301901567344
22Bb-HF | 28-05-2018,Non.Mito.Resp,12.681112835655622
24A-HF | 12-04-2018,Non.Mito.Resp,5.48857322277315
24B-HF | 04-06-2018,Non.Mito.Resp,17.82683240603256
25A-HF | 05-03-2018,Non.Mito.Resp,3.52931774045405
25B-HF | 23-04-2018,Non.Mito.Resp,26.041839078142516
26A-HF | 23-04-2018,Non.Mito.Resp,19.5328571286935
26B-HF | 11-06-2018,Non.Mito.Resp,11.454456537957972
27A-HF | 30-04-2018,Non.Mito.Resp,23.063591100701533
27B-HF | 18-06-2018,Non.Mito.Resp,20.9802229959151
27Bb-HF | 18-06-2018,Non.Mito.Resp,21.508046097091352
29A-HF | 08-05-2018,Non.Mito.Resp,13.293293675602701
2B_2-DB2 | 12-02-2018,Non.Mito.Resp,16.912552512564574
31A-HF | 13-08-2018,Non.Mito.Resp,21.19280332516652
31B-HF | 01-10-2018,Non.Mito.Resp,19.807862184928126
32A-HF | 15-05-2018,Non.Mito.Resp,14.105188713277794
