Sample,variable,value
5A_1-DB2 | 27-03-2018,log.Spare.Resp.Cpcty,0.9908455376822438
5A_2x-DB2 | 23-04-2018,log.Spare.Resp.Cpcty,0.8595432601405872
5A_2y-DB2 | 23-04-2018,log.Spare.Resp.Cpcty,0.8586640935628278
5A_3-DB2 | 02-05-2018,log.Spare.Resp.Cpcty,-0.022639119633889315
5A_4x-DB2 | 25-05-2018,log.Spare.Resp.Cpcty,0.8551781309204358
5A_4y-DB2 | 25-05-2018,log.Spare.Resp.Cpcty,0.8654319800540646
6G_1-DB2 | 27-03-2018,log.Spare.Resp.Cpcty,0.9145389965753772
6G_2x-DB2 | 19-04-2018,log.Spare.Resp.Cpcty,0.8356841355678304
6G_2y-DB2 | 19-04-2018,log.Spare.Resp.Cpcty,0.8597221949259914
6G_3-DB2 | 02-05-2018,log.Spare.Resp.Cpcty,-0.07910617085154703
6G_4x-DB2 | 24-05-2018,log.Spare.Resp.Cpcty,0.7945801111142266
6G_4y-DB2 | 24-05-2018,log.Spare.Resp.Cpcty,0.820531148951881
7A_2x-DB2 | 17-08-2018,log.Spare.Resp.Cpcty,0.7491168485538764
7A_2y-DB2 | 17-08-2018,log.Spare.Resp.Cpcty,0.8383694710166063
7A_3x-DB2 | 29-08-2018,log.Spare.Resp.Cpcty,0.8824111270708705
7A_3y-DB2 | 29-08-2018,log.Spare.Resp.Cpcty,0.7826023290020192
7A_4x-DB2 | 21-09-2018,log.Spare.Resp.Cpcty,0.9363787329144309
7A_4y-DB2 | 21-09-2018,log.Spare.Resp.Cpcty,0.7938522647057882
9A_1x-DB2 | 02-07-2018,log.Spare.Resp.Cpcty,0.5443249740055034
9A_1y-DB2 | 02-07-2018,log.Spare.Resp.Cpcty,0.5572228312952929
9A_3x-DB2 | 23-Aug-18 ,log.Spare.Resp.Cpcty,0.8187419496521819
9A_3y-DB2 | 23-Aug-18 ,log.Spare.Resp.Cpcty,0.8162716665254788
9A_4x-DB2 | 17-Sep-18 ,log.Spare.Resp.Cpcty,0.9665418713576797
10A_1x-DB2 | 16-Oct-18 ,log.Maximal.Resp,2.274623348568536
10A_1y-DB2 | 16-Oct-18 ,log.Maximal.Resp,2.122588022112743
10A_2x-DB2 | 08-Nov-18 ,log.Maximal.Resp,2.23415294058492
10A_2y-DB2 | 08-Nov-18 ,log.Maximal.Resp,2.187153076531225
10A_3x-DB2 | 20-Nov-18 ,log.Maximal.Resp,2.2960247331677817
10A_3y-DB2 | 20-Nov-18 ,log.Maximal.Resp,2.1613401978764664
10A_4x-DB2 | 14-Dec-18 ,log.Maximal.Resp,2.066896393322818
10A_4y-DB2 | 14-Dec-18 ,log.Maximal.Resp,2.115993530832915
11B_1x-DB2 | 20-Dec-18 ,log.Maximal.Resp,2.425647318388323
11B_1y-DB2 | 20-Dec-18 ,log.Maximal.Resp,2.2524817274284903
11B_3x-DB2 | 23-01-2019,log.Maximal.Resp,2.0737621728313758
11B_3y-DB2 | 23-01-2019,log.Maximal.Resp,1.9518947028387679
11B_4x-DB2 | 18-Feb-19 ,log.Maximal.Resp,2.3607718878909383
11B_4y-DB2 | 18-Feb-19 ,log.Maximal.Resp,2.2114535936919593
1A_1x-DB2 | 09-10-2017,log.Maximal.Resp,1.8535640602565886
1A_1y-DB2 | 09-10-2017,log.Maximal.Resp,1.8746647646132861
1A_2x-DB2 | 03-11-2017,log.Maximal.Resp,2.2332542929399217
1A_2y-DB2 | 03-11-2017,log.Maximal.Resp,1.985795799516723
1A_3x-DB2 | 14-11-2017,log.Maximal.Resp,2.0096154466333247
1A_3y-DB2 | 14-11-2017,log.Maximal.Resp,1.8811047001188435
1A_4x-DB2 | 07-12-2017,log.Maximal.Resp,2.3308909554537562
1A_4y-DB2 | 07-12-2017,log.Maximal.Resp,2.348085958614293
2B_1x-DB2 | 17-01-2018,log.Maximal.Resp,1.8310322681371551
2B_1y-DB2 | 17-01-2018,log.Maximal.Resp,1.7374931836847818
2B_3x-DB2 | 20-Feb-18 ,log.Maximal.Resp,1.8854083727484547
2B_3y-DB2 | 20-Feb-18 ,log.Maximal.Resp,1.8083416227490257
2B_4x-DB2 | 15-03-2018,log.Maximal.Resp,1.9864427232379795
2B_4y-DB2 | 15-03-2018,log.Maximal.Resp,1.7711436892507968
3B_1x-DB2 | 31-01-2018,log.Maximal.Resp,1.6586681273691988
3B_1y-DB2 | 31-01-2018,log.Maximal.Resp,0.7456796104697823
3B_2x-DB2 | 23-Feb-18 ,log.Maximal.Resp,1.8665058144907016
3B_2y-DB2 | 23-Feb-18 ,log.Maximal.Resp,1.8218656294853042
3B_3x-DB2 | 07-03-2018,log.Maximal.Resp,2.1274226589858443
3B_3y-DB2 | 07-03-2018,log.Maximal.Resp,2.0171552086054714
3B_4x-DB2 | 28-03-2018,log.Maximal.Resp,2.2844489220180764
3B_4y-DB2 | 28-03-2018,log.Maximal.Resp,2.048604250724458
4A_1x-DB2 | 09-01-2018,log.Maximal.Resp,1.9216146819464663
4A_1y-DB2 | 09-01-2018,log.Maximal.Resp,1.862132104056582
4A_3x-DB2 | 13-02-2018,log.Maximal.Resp,2.038765848704702
4A_3y-DB2 | 13-02-2018,log.Maximal.Resp,1.8859605223410298
